archivo,real,predicho,score_abajo,score_adelante,score_arriba,score_derecha,score_empezar,score_explora,score_izquierda,score_para,score_repetir,score_reversa
abajo_11.wav,abajo,abajo,0.02982153294793191,0.06658189685463163,0.5988908890549054,0.09549933357345512,3.0792777959307736,3.3514934791729583,2.3224262551723496,0.10408477710967352,0.1111329250637181,4.8685137486886
abajo_12.wav,abajo,abajo,0.01312775530144068,0.027767903773028728,0.08993523178588117,0.02908733714282478,1.5892321473791993,1.7667807105729836,1.2575211407921465,0.022883880692172908,0.04405919987561582,2.5087336356077485
abajo_13.wav,abajo,abajo,0.032462156393965456,0.06376144400454693,0.23924992523398836,0.06508783163563614,5.822168697939022,5.371398464306715,4.174528095838319,0.059138481831105615,0.0960025284202942,7.004237590479695
abajo_14.wav,abajo,abajo,0.02777876350255318,0.057710053174310785,0.3606830511644857,0.07058002026765856,2.2450815397971216,2.343784972466262,1.8176720771812103,0.116614466968037,0.08392490026063505,3.3079633496798224
abajo_15.wav,abajo,abajo,0.030508486371244672,0.055543127883354936,0.26932702789791224,0.06650897144498821,3.786952632663239,3.199599933852891,2.676265680400245,0.09802997590375438,0.06775246047593503,4.293761742378159
adelante_11.wav,adelante,adelante,0.07395960747814437,0.04297209514101751,0.19629774258220856,0.0855447825795989,4.8236949496262485,2.7870389424524444,3.6256664590261027,0.05771727895783542,0.05841710497379261,4.751883962111122
adelante_12.wav,adelante,adelante,0.04438685845401328,0.030763847097568593,0.049910812806920946,0.045429784553804545,4.23592279557279,2.7876706551869606,2.91165205173012,0.04304739708183895,0.04933725961923273,3.740986003598308
adelante_13.wav,adelante,adelante,0.060247247889272576,0.035458253486644754,0.1772562524087862,0.04631010270614145,1.6422757669475796,1.043290446333636,1.1040686930807462,0.04808671318098126,0.046723118237886684,1.3724467070545296
adelante_14.wav,adelante,repetir,0.10042840962616108,0.10384262004090732,0.18492461660153525,0.19858452178287753,8.696121213537273,4.841871956208796,6.101177991202821,0.13784863041324164,0.08933652303939486,6.8706553545499505
adelante_15.wav,adelante,adelante,0.03036441654176798,0.02697510564486421,0.11564302460054011,0.028030188920396683,1.1608503612559553,0.9704248211255972,0.846492608034952,0.036808511671448024,0.04269858329789526,1.29691556033476
